actor,actor_type,is_individual,n_contexts,mean_commercial,mean_policy,mean_public,cross_context_std,n_docs
Satya Nadella,individual,1,3,0.003081664098613251,0.116327925496305,0.00871438316335659,0.06381890751449491,161
Microsoft,company,0,3,0.023648676074130126,0.10421060943206839,0.01591859716859716,0.04889693012822585,264
Google DeepMind,company,0,2,0.026038528063600384,,0.003795066413662235,0.015728502569734175,200
UK DSIT,policymaker,0,2,,0.199626192759002,0.18238613816738816,0.012190559509756425,252
OpenAI,company,0,2,0.06276320397786457,0.04668122392990117,,0.011371677146821678,275
