actor,actor_type,is_individual,n_contexts,mean_commercial,mean_policy,mean_public,cross_context_std,n_docs
Satya Nadella,individual,1,3,0.07156803071689988,0.2931963027911718,0.2975608050600147,0.1292354917182713,161
UK DSIT,policymaker,0,2,,0.19655936618537315,0.3206617881472532,0.08775366413091971,252
OpenAI,company,0,2,0.19009467741006922,0.2416604291642587,,0.03646249274236949,275
Microsoft,company,0,3,0.2814570641794496,0.23250016002378643,0.22450703717001372,0.030832812753725455,264
Google DeepMind,company,0,2,0.2754853318703816,,0.25939819317986523,0.011375324857952599,200
