,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Intercept,0.023648676074130348,0.013386146433080547,1.766653023882101,0.07777052723638411,-0.002638189823922936,0.04993554197218363
C(actor)[T.OpenAI],0.03911452790373454,0.016024227587919153,2.4409618303988285,0.014922503477690202,0.007647165445890884,0.07058189036157819
C(actor)[T.Satya Nadella],-0.020567011975517083,0.020839993751782852,-0.9869010624706922,0.3240700113291567,-0.06149127078353275,0.02035724683249859
C(context)[T.policy],0.08056193335793836,0.01667975929346758,4.829921819644571,1.716763512264283e-06,0.04780727928694685,0.11331658742892987
C(context)[T.public],-4.589013883350186e-17,1.069960459622227e-17,-4.288956514309358,2.07699502568342e-05,-6.690134415604541e-17,-2.487893351095831e-17
C(actor)[T.OpenAI]:C(context)[T.policy],-0.096643913405902,0.02327287834386004,-4.152641197963339,3.739607275326014e-05,-0.1423457167699319,-0.05094211004187211
C(actor)[T.Satya Nadella]:C(context)[T.policy],0.03268432803975358,0.027593285670891407,1.1845029413888464,0.23666070047510726,-0.021501617388491316,0.08687027346799847
C(actor)[T.OpenAI]:C(context)[T.public],0.0,0.0,,,0.0,0.0
C(actor)[T.Satya Nadella]:C(context)[T.public],0.0,0.0,,,0.0,0.0
