,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Intercept,0.06017029056349271,0.005159109893424859,11.66292089264818,1.1817292076959472e-30,0.050053783143934355,0.07028679798305107
C(context)[T.policy],0.05473383793738722,0.006022825381478287,9.08773448848569,1.986835507363286e-19,0.042923669339101876,0.06654400653567256
C(context)[T.public],-0.04324308300559726,0.012084961501324907,-3.5782557520647793,0.0003523895467967044,-0.06694050469631264,-0.01954566131488188
post_chatgpt,0.002087602125792804,0.005844496164590495,0.35719111913200746,0.7209785128351783,-0.009372880405896318,0.013548084657481927
