,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Intercept,0.03380576874748741,0.01619224143163469,2.087775734460164,0.037219187007822174,0.002008471352741202,0.06560306614223363
C(actor)[T.OpenAI],0.07159848706501468,0.019383335088718052,3.6938167109688016,0.00024010162167739644,0.03353472221070291,0.10966225191932644
C(actor)[T.Satya Nadella],-0.01904236664609906,0.025208614887755273,-0.7553912315645959,0.4502965886102418,-0.0685454467403451,0.030460713448146985
C(context)[T.policy],0.06697693541119903,0.020176283805915723,3.3195872964257807,0.0009535064006396891,0.02735602812629967,0.1065978426960984
C(context)[T.public],-3.571058213358674e-17,1.2942528434988079e-17,-2.759165823970595,0.00596327205944546,-6.11262991252601e-17,-1.0294865141913377e-17
C(actor)[T.OpenAI]:C(context)[T.policy],-0.05638482354082533,0.028151497283906694,-2.002906736085356,0.045615251268303604,-0.11166694955303624,-0.001102697528614409
C(actor)[T.Satya Nadella]:C(context)[T.policy],0.015300140034325125,0.03337757775986905,0.4583957573074995,0.646826220189257,-0.05024463156680322,0.08084491163545347
C(actor)[T.OpenAI]:C(context)[T.public],0.0,0.0,,,0.0,0.0
C(actor)[T.Satya Nadella]:C(context)[T.public],0.0,0.0,,,0.0,0.0
