,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Intercept,0.039686360412219124,0.006620069652048644,5.994855416655291,2.3271916412464656e-09,0.02670505450162064,0.05266766632281761
C(context)[T.policy],0.13622938389816652,0.00772837259743737,17.627175990885643,1.0941678126254536e-65,0.12107480484515387,0.15138396295117917
C(context)[T.public],-0.016873787609078237,0.015507187971138042,-1.0881268506246076,0.276642714675302,-0.04728185904140836,0.013534283823251888
post_chatgpt,0.023062860752831996,0.007499544008556747,3.0752350711613916,0.0021258353120920726,0.008356992071383294,0.037768729434280696
