,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Intercept,0.2814570641794499,0.021537793878152495,13.068054498606482,1.0514013378239656e-34,0.23916250971261838,0.3237516186462814
C(actor)[T.OpenAI],-0.09136238676938035,0.02578236481802655,-3.543599953465148,0.0004239086751697871,-0.14199216061013936,-0.040732612928621355
C(actor)[T.Satya Nadella],-0.2098890334625516,0.033530747037001596,-6.2595990847128,7.138641146239623e-10,-0.2757345891816345,-0.14404347774346868
C(context)[T.policy],-0.04895690415566297,0.02683709007635817,-1.8242255034494592,0.06859152097671449,-0.10165788060604952,0.003744072294723573
C(context)[T.public],-8.860450773379976e-17,1.7215251567970178e-17,-5.146861048412026,3.544150001577813e-07,-1.2241072759182816e-16,-5.4798287875771364e-17
C(actor)[T.OpenAI]:C(context)[T.policy],0.10052265590985193,0.03744516461307117,2.6845296835672605,0.007454252770504772,0.02699021506624673,0.17405509675345715
C(actor)[T.Satya Nadella]:C(context)[T.policy],0.27058517622993467,0.04439653354844351,6.0947365616886335,1.909952651094916e-09,0.18340207767647093,0.3577682747833984
C(actor)[T.OpenAI]:C(context)[T.public],0.0,0.0,,,0.0,0.0
C(actor)[T.Satya Nadella]:C(context)[T.public],0.0,0.0,,,0.0,0.0
