,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Intercept,0.19559167748678954,0.008012155869873222,24.411866252158227,2.2492850041764106e-118,0.17988062732917748,0.2113027276444016
C(context)[T.policy],-0.022652275128626276,0.009353515767309662,-2.42179258496527,0.015514006923930582,-0.0409936002047874,-0.004310950052465151
C(context)[T.public],0.036440606710914834,0.01876808155481143,1.9416266177494756,0.05229315819967941,-0.00036175653048596546,0.07324296995231563
post_chatgpt,0.04826228365212962,0.009076568481562098,5.3172389708917365,1.1456871306256679e-07,0.03046402498257141,0.06606054232168783
