actor,actor_type,is_individual,n_contexts,mean_commercial,mean_policy,mean_public,cross_context_std,n_docs
Satya Nadella,individual,1,3,0.014763402101388141,0.09704047754691233,0.007988089585311803,0.04957443865075091,161
Microsoft,company,0,3,0.033805768747487364,0.10078270415868613,0.006324404761904761,0.04858584424932149,264
UK DSIT,policymaker,0,2,,0.1161962040752797,0.06568644291754756,0.03571579463074527,252
Google DeepMind,company,0,2,0.045457273575442964,,0.0,0.03214314639944778,200
OpenAI,company,0,2,0.10540425581250168,0.11599636768287562,,0.0074897541306279385,275
